frame_idx,t_start,vessel_present,n_vessels,mmsi,ship_name,ship_type,dist_km,bearing_deg,sog_kn,cog_deg,is_moving,move_source,ais_confidence,ais_age_sec,ais_interp,vessel_lat,vessel_lon
20,2026-06-03 11:00:10 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,444.8,extrapolated,32.84318666666667,34.97215166666667
21,2026-06-03 11:00:10.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,444.2,extrapolated,32.84318666666667,34.97215166666667
22,2026-06-03 11:00:11 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,443.8,extrapolated,32.84318666666667,34.97215166666667
23,2026-06-03 11:00:11.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,443.2,extrapolated,32.84318666666667,34.97215166666667
24,2026-06-03 11:00:12 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,442.8,extrapolated,32.84318666666667,34.97215166666667
25,2026-06-03 11:00:12.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,442.2,extrapolated,32.84318666666667,34.97215166666667
26,2026-06-03 11:00:13 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,441.8,extrapolated,32.84318666666667,34.97215166666667
27,2026-06-03 11:00:13.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,441.2,extrapolated,32.84318666666667,34.97215166666667
28,2026-06-03 11:00:14 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,440.8,extrapolated,32.84318666666667,34.97215166666667
29,2026-06-03 11:00:14.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,440.2,extrapolated,32.84318666666667,34.97215166666667
30,2026-06-03 11:00:15 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,439.8,extrapolated,32.84318666666667,34.97215166666667
31,2026-06-03 11:00:15.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,439.2,extrapolated,32.84318666666667,34.97215166666667
32,2026-06-03 11:00:16 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,438.8,extrapolated,32.84318666666667,34.97215166666667
33,2026-06-03 11:00:16.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,438.2,extrapolated,32.84318666666667,34.97215166666667
34,2026-06-03 11:00:17 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,437.8,extrapolated,32.84318666666667,34.97215166666667
35,2026-06-03 11:00:17.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,437.2,extrapolated,32.84318666666667,34.97215166666667
36,2026-06-03 11:00:18 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,436.8,extrapolated,32.84318666666667,34.97215166666667
37,2026-06-03 11:00:18.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,436.2,extrapolated,32.84318666666667,34.97215166666667
38,2026-06-03 11:00:19 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,435.8,extrapolated,32.84318666666667,34.97215166666667
39,2026-06-03 11:00:19.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,435.2,extrapolated,32.84318666666667,34.97215166666667
40,2026-06-03 11:00:20 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,434.8,extrapolated,32.84318666666667,34.97215166666667
41,2026-06-03 11:00:20.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,434.2,extrapolated,32.84318666666667,34.97215166666667
42,2026-06-03 11:00:21 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,433.8,extrapolated,32.84318666666667,34.97215166666667
43,2026-06-03 11:00:21.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,433.2,extrapolated,32.84318666666667,34.97215166666667
44,2026-06-03 11:00:22 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,432.8,extrapolated,32.84318666666667,34.97215166666667
45,2026-06-03 11:00:22.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,432.2,extrapolated,32.84318666666667,34.97215166666667
46,2026-06-03 11:00:23 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,431.8,extrapolated,32.84318666666667,34.97215166666667
47,2026-06-03 11:00:23.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,431.2,extrapolated,32.84318666666667,34.97215166666667
48,2026-06-03 11:00:24 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,430.8,extrapolated,32.84318666666667,34.97215166666667
49,2026-06-03 11:00:24.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,430.2,extrapolated,32.84318666666667,34.97215166666667
50,2026-06-03 11:00:25 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,429.8,extrapolated,32.84318666666667,34.97215166666667
51,2026-06-03 11:00:25.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,429.2,extrapolated,32.84318666666667,34.97215166666667
52,2026-06-03 11:00:26 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,428.8,extrapolated,32.84318666666667,34.97215166666667
53,2026-06-03 11:00:26.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,428.2,extrapolated,32.84318666666667,34.97215166666667
54,2026-06-03 11:00:27 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,427.8,extrapolated,32.84318666666667,34.97215166666667
55,2026-06-03 11:00:27.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,427.2,extrapolated,32.84318666666667,34.97215166666667
56,2026-06-03 11:00:28 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,426.8,extrapolated,32.84318666666667,34.97215166666667
57,2026-06-03 11:00:28.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,426.2,extrapolated,32.84318666666667,34.97215166666667
58,2026-06-03 11:00:29 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,425.8,extrapolated,32.84318666666667,34.97215166666667
59,2026-06-03 11:00:29.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,425.2,extrapolated,32.84318666666667,34.97215166666667
60,2026-06-03 11:00:30 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,424.8,extrapolated,32.84318666666667,34.97215166666667
61,2026-06-03 11:00:30.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,424.2,extrapolated,32.84318666666667,34.97215166666667
62,2026-06-03 11:00:31 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,423.8,extrapolated,32.84318666666667,34.97215166666667
63,2026-06-03 11:00:31.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,423.2,extrapolated,32.84318666666667,34.97215166666667
64,2026-06-03 11:00:32 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,422.8,extrapolated,32.84318666666667,34.97215166666667
65,2026-06-03 11:00:32.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,422.2,extrapolated,32.84318666666667,34.97215166666667
66,2026-06-03 11:00:33 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,421.8,extrapolated,32.84318666666667,34.97215166666667
67,2026-06-03 11:00:33.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,421.2,extrapolated,32.84318666666667,34.97215166666667
68,2026-06-03 11:00:34 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,420.8,extrapolated,32.84318666666667,34.97215166666667
69,2026-06-03 11:00:34.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,420.2,extrapolated,32.84318666666667,34.97215166666667
70,2026-06-03 11:00:35 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,419.8,extrapolated,32.84318666666667,34.97215166666667
71,2026-06-03 11:00:35.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,419.2,extrapolated,32.84318666666667,34.97215166666667
72,2026-06-03 11:00:36 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,418.8,extrapolated,32.84318666666667,34.97215166666667
73,2026-06-03 11:00:36.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,418.2,extrapolated,32.84318666666667,34.97215166666667
74,2026-06-03 11:00:37 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,417.8,extrapolated,32.84318666666667,34.97215166666667
75,2026-06-03 11:00:37.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,417.2,extrapolated,32.84318666666667,34.97215166666667
76,2026-06-03 11:00:38 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,416.8,extrapolated,32.84318666666667,34.97215166666667
77,2026-06-03 11:00:38.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,416.2,extrapolated,32.84318666666667,34.97215166666667
78,2026-06-03 11:00:39 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,415.8,extrapolated,32.84318666666667,34.97215166666667
79,2026-06-03 11:00:39.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,415.2,extrapolated,32.84318666666667,34.97215166666667
80,2026-06-03 11:00:40 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,414.8,extrapolated,32.84318666666667,34.97215166666667
81,2026-06-03 11:00:40.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,414.2,extrapolated,32.84318666666667,34.97215166666667
82,2026-06-03 11:00:41 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,413.8,extrapolated,32.84318666666667,34.97215166666667
83,2026-06-03 11:00:41.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,413.2,extrapolated,32.84318666666667,34.97215166666667
84,2026-06-03 11:00:42 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,412.8,extrapolated,32.84318666666667,34.97215166666667
85,2026-06-03 11:00:42.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,412.2,extrapolated,32.84318666666667,34.97215166666667
86,2026-06-03 11:00:43 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,411.8,extrapolated,32.84318666666667,34.97215166666667
87,2026-06-03 11:00:43.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,411.2,extrapolated,32.84318666666667,34.97215166666667
88,2026-06-03 11:00:44 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,410.8,extrapolated,32.84318666666667,34.97215166666667
89,2026-06-03 11:00:44.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,410.2,extrapolated,32.84318666666667,34.97215166666667
90,2026-06-03 11:00:45 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,409.8,extrapolated,32.84318666666667,34.97215166666667
91,2026-06-03 11:00:45.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,409.2,extrapolated,32.84318666666667,34.97215166666667
92,2026-06-03 11:00:46 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,408.8,extrapolated,32.84318666666667,34.97215166666667
93,2026-06-03 11:00:46.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,408.2,extrapolated,32.84318666666667,34.97215166666667
94,2026-06-03 11:00:47 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,407.8,extrapolated,32.84318666666667,34.97215166666667
95,2026-06-03 11:00:47.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,407.2,extrapolated,32.84318666666667,34.97215166666667
96,2026-06-03 11:00:48 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,406.8,extrapolated,32.84318666666667,34.97215166666667
97,2026-06-03 11:00:48.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,406.2,extrapolated,32.84318666666667,34.97215166666667
98,2026-06-03 11:00:49 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,405.8,extrapolated,32.84318666666667,34.97215166666667
99,2026-06-03 11:00:49.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,405.2,extrapolated,32.84318666666667,34.97215166666667
100,2026-06-03 11:00:50 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,404.8,extrapolated,32.84318666666667,34.97215166666667
101,2026-06-03 11:00:50.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,404.2,extrapolated,32.84318666666667,34.97215166666667
102,2026-06-03 11:00:51 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,403.8,extrapolated,32.84318666666667,34.97215166666667
103,2026-06-03 11:00:51.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,403.2,extrapolated,32.84318666666667,34.97215166666667
104,2026-06-03 11:00:52 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,402.8,extrapolated,32.84318666666667,34.97215166666667
105,2026-06-03 11:00:52.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,402.2,extrapolated,32.84318666666667,34.97215166666667
106,2026-06-03 11:00:53 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,401.8,extrapolated,32.84318666666667,34.97215166666667
107,2026-06-03 11:00:53.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,401.2,extrapolated,32.84318666666667,34.97215166666667
108,2026-06-03 11:00:54 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,400.8,extrapolated,32.84318666666667,34.97215166666667
109,2026-06-03 11:00:54.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,400.2,extrapolated,32.84318666666667,34.97215166666667
110,2026-06-03 11:00:55 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,399.8,extrapolated,32.84318666666667,34.97215166666667
111,2026-06-03 11:00:55.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,399.2,extrapolated,32.84318666666667,34.97215166666667
112,2026-06-03 11:00:56 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,398.8,extrapolated,32.84318666666667,34.97215166666667
113,2026-06-03 11:00:56.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,398.2,extrapolated,32.84318666666667,34.97215166666667
114,2026-06-03 11:00:57 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,397.8,extrapolated,32.84318666666667,34.97215166666667
115,2026-06-03 11:00:57.5 UTC,1,69,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,397.2,extrapolated,32.84318666666667,34.97215166666667
116,2026-06-03 11:00:58 UTC,1,70,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,396.8,extrapolated,32.84318666666667,34.97215166666667
117,2026-06-03 11:00:58.5 UTC,1,70,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,396.2,extrapolated,32.84318666666667,34.97215166666667
118,2026-06-03 11:00:59 UTC,1,70,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,395.8,extrapolated,32.84318666666667,34.97215166666667
119,2026-06-03 11:00:59.5 UTC,1,70,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,395.2,extrapolated,32.84318666666667,34.97215166666667
120,2026-06-03 11:01:00 UTC,1,70,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,394.8,extrapolated,32.84318666666667,34.97215166666667
121,2026-06-03 11:01:00.5 UTC,1,70,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,394.2,extrapolated,32.84318666666667,34.97215166666667
122,2026-06-03 11:01:01 UTC,1,70,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,393.8,extrapolated,32.84318666666667,34.97215166666667
123,2026-06-03 11:01:01.5 UTC,1,70,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,393.2,extrapolated,32.84318666666667,34.97215166666667
124,2026-06-03 11:01:02 UTC,1,70,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,392.8,extrapolated,32.84318666666667,34.97215166666667
125,2026-06-03 11:01:02.5 UTC,1,70,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,392.2,extrapolated,32.84318666666667,34.97215166666667
126,2026-06-03 11:01:03 UTC,1,70,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,391.8,extrapolated,32.84318666666667,34.97215166666667
127,2026-06-03 11:01:03.5 UTC,1,70,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,391.2,extrapolated,32.84318666666667,34.97215166666667
128,2026-06-03 11:01:04 UTC,1,70,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,390.8,extrapolated,32.84318666666667,34.97215166666667
129,2026-06-03 11:01:04.5 UTC,1,70,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,390.2,extrapolated,32.84318666666667,34.97215166666667
130,2026-06-03 11:01:05 UTC,1,70,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,389.8,extrapolated,32.84318666666667,34.97215166666667
131,2026-06-03 11:01:05.5 UTC,1,70,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,389.2,extrapolated,32.84318666666667,34.97215166666667
132,2026-06-03 11:01:06 UTC,1,70,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,388.8,extrapolated,32.84318666666667,34.97215166666667
133,2026-06-03 11:01:06.5 UTC,1,70,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,388.2,extrapolated,32.84318666666667,34.97215166666667
134,2026-06-03 11:01:07 UTC,1,70,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,387.8,extrapolated,32.84318666666667,34.97215166666667
135,2026-06-03 11:01:07.5 UTC,1,70,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,387.2,extrapolated,32.84318666666667,34.97215166666667
136,2026-06-03 11:01:08 UTC,1,70,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,386.8,extrapolated,32.84318666666667,34.97215166666667
137,2026-06-03 11:01:08.5 UTC,1,70,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,386.2,extrapolated,32.84318666666667,34.97215166666667
138,2026-06-03 11:01:09 UTC,1,70,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,385.8,extrapolated,32.84318666666667,34.97215166666667
139,2026-06-03 11:01:09.5 UTC,1,70,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,385.2,extrapolated,32.84318666666667,34.97215166666667
140,2026-06-03 11:01:10 UTC,1,70,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,384.8,extrapolated,32.84318666666667,34.97215166666667
141,2026-06-03 11:01:10.5 UTC,1,70,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,384.2,extrapolated,32.84318666666667,34.97215166666667
142,2026-06-03 11:01:11 UTC,1,70,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,383.8,extrapolated,32.84318666666667,34.97215166666667
143,2026-06-03 11:01:11.5 UTC,1,70,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,383.2,extrapolated,32.84318666666667,34.97215166666667
144,2026-06-03 11:01:12 UTC,1,70,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,382.8,extrapolated,32.84318666666667,34.97215166666667
145,2026-06-03 11:01:12.5 UTC,1,70,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,382.2,extrapolated,32.84318666666667,34.97215166666667
146,2026-06-03 11:01:13 UTC,1,70,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,381.8,extrapolated,32.84318666666667,34.97215166666667
147,2026-06-03 11:01:13.5 UTC,1,70,428074276,MERMAID OF DELAWARE,,0.0203,79.43,0.1,360.0,0,sog,low,381.2,extrapolated,32.84318666666667,34.97215166666667
